# T 673:1473:10
# C 0:0.015:11j
# Mn 1e-06:0.03:5j
# Si 1e-06:0.03:5j
# Cr 1e-06:0.03:5j
# Ni 1e-06:0.03:5j
file,macro,C,Mn,Si,Cr,Ni,A1,A1prime,A3,eutectoid
../results/00040.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.02250025,1e-06,,,1200.53,hipo
../results/00041.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.02250025,0.00750075,,,1162.82,hipo
../results/00042.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.02250025,0.015000499999999996,,,1131.55,hipo
../results/00043.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.02250025,0.02250025,,,1104.83,hipo
../results/00044.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.02250025,0.03,,,1081.55,hipo
../results/00045.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,1e-06,,,1189.14,hipo
../results/00046.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,0.00750075,,,1152.67,hipo
../results/00047.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,0.015000499999999996,,,1122.37,hipo
../results/00048.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,0.02250025,,,1096.44,hipo
../results/00049.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,0.03,,,1073.84,hipo
../results/00050.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999996,1e-06,1e-06,,,1349.86,hipo
../results/00051.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999996,1e-06,0.00750075,,,1271.07,hipo
../results/00052.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999996,1e-06,0.015000499999999996,,,1219.1,hipo
../results/00053.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999996,1e-06,0.02250025,,,1178.59,hipo
../results/00054.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999996,1e-06,0.03,,,1145.12,hipo
../results/00055.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999996,0.00750075,1e-06,,,1313.95,hipo
../results/00056.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999996,0.00750075,0.00750075,,,1247.73,hipo
