file,BCC_A2,FCC_A1,CEMENTITE,Tinf,Tsup
../results/00126.DAT,True,True,False,673.0,1473.0
../results/00127.DAT,True,True,False,673.0,1473.0
../results/00128.DAT,True,True,False,673.0,1473.0
../results/00129.DAT,True,True,False,673.0,1473.0
../results/00130.DAT,True,True,False,673.0,1473.0
../results/00131.DAT,True,True,False,673.0,1473.0
../results/00132.DAT,True,True,False,673.0,1473.0
../results/00133.DAT,True,True,False,673.0,1473.0
../results/00134.DAT,True,True,False,673.0,1473.0
../results/00135.DAT,True,True,False,673.0,1473.0
../results/00136.DAT,True,True,False,673.0,1473.0
../results/00137.DAT,True,True,False,673.0,1473.0
../results/00138.DAT,True,True,False,673.0,1473.0
../results/00139.DAT,True,True,False,673.0,1473.0
../results/00140.DAT,True,True,False,673.0,1473.0
../results/00141.DAT,True,True,False,673.0,1473.0
../results/00142.DAT,True,True,False,673.0,1473.0
../results/00143.DAT,True,True,False,673.0,1473.0
../results/00144.DAT,True,True,False,673.0,1473.0
../results/00145.DAT,True,True,False,673.0,1473.0
../results/00146.DAT,True,True,False,673.0,1473.0
../results/00147.DAT,True,True,False,673.0,1473.0
../results/00148.DAT,True,True,False,673.0,1473.0
../results/00149.DAT,True,True,False,673.0,1473.0
../results/00150.DAT,True,True,False,673.0,1473.0
../results/00151.DAT,True,True,False,673.0,1473.0
../results/00152.DAT,True,True,False,673.0,1473.0
../results/00153.DAT,True,True,False,673.0,1473.0
../results/00154.DAT,True,True,False,673.0,1473.0
../results/00155.DAT,True,True,False,673.0,1473.0
../results/00156.DAT,True,True,False,673.0,1473.0
../results/00157.DAT,True,True,False,673.0,1473.0
../results/00158.DAT,True,True,False,673.0,1473.0
../results/00159.DAT,True,True,False,673.0,1473.0
../results/00160.DAT,True,True,False,673.0,1473.0
../results/00161.DAT,True,True,False,673.0,1473.0
../results/00162.DAT,True,True,False,673.0,1473.0
../results/00163.DAT,True,True,False,673.0,1473.0
../results/00164.DAT,True,True,False,673.0,1473.0
../results/00165.DAT,True,True,False,673.0,1473.0
../results/00166.DAT,True,True,False,673.0,1473.0
../results/00167.DAT,True,True,False,673.0,1473.0
../results/00168.DAT,True,True,False,673.0,1473.0
../results/00169.DAT,True,True,False,673.0,1473.0
../results/00170.DAT,True,True,False,673.0,1473.0
../results/00171.DAT,True,True,False,673.0,1473.0
../results/00172.DAT,True,True,False,673.0,1473.0
../results/00173.DAT,True,True,False,673.0,1473.0
../results/00174.DAT,True,True,False,673.0,1473.0
../results/00175.DAT,True,True,False,673.0,1473.0
../results/00176.DAT,True,True,False,673.0,1473.0
../results/00177.DAT,True,True,False,673.0,1473.0
../results/00178.DAT,True,True,False,673.0,1473.0
../results/00179.DAT,True,True,False,673.0,1473.0
../results/00180.DAT,True,True,False,673.0,1473.0
../results/00181.DAT,True,True,False,673.0,1473.0
../results/00182.DAT,True,True,False,673.0,1473.0
../results/00183.DAT,True,True,False,673.0,1473.0
../results/00184.DAT,True,True,False,673.0,1473.0
../results/00185.DAT,True,True,False,673.0,1473.0
../results/00186.DAT,True,True,False,673.0,1473.0
../results/00187.DAT,True,True,False,673.0,1473.0
../results/00188.DAT,True,True,False,673.0,1473.0
../results/00189.DAT,True,True,False,673.0,1473.0
../results/00190.DAT,True,True,False,673.0,1473.0
../results/00191.DAT,True,True,False,673.0,1473.0
../results/00192.DAT,True,True,False,673.0,1473.0
../results/00193.DAT,True,True,False,673.0,1473.0
../results/00194.DAT,True,True,False,673.0,1473.0
../results/00195.DAT,True,True,False,673.0,1473.0
../results/00196.DAT,True,True,False,673.0,1473.0
../results/00197.DAT,True,True,False,673.0,1473.0
../results/00198.DAT,True,True,False,673.0,1473.0
../results/00199.DAT,True,True,False,673.0,1473.0
../results/00200.DAT,True,True,False,673.0,1473.0
../results/00201.DAT,True,True,False,673.0,1473.0
../results/00202.DAT,True,True,False,673.0,1473.0
../results/00203.DAT,True,True,False,673.0,1473.0
../results/00204.DAT,True,True,False,673.0,1473.0
../results/00205.DAT,True,True,False,673.0,1473.0
../results/00206.DAT,True,True,False,673.0,1473.0
../results/00207.DAT,True,True,False,673.0,1473.0
../results/00208.DAT,True,True,False,673.0,1473.0
../results/00209.DAT,True,True,False,673.0,1473.0
../results/00210.DAT,True,True,False,673.0,1473.0
../results/00211.DAT,True,True,False,673.0,1473.0
../results/00212.DAT,True,True,False,673.0,1473.0
../results/00213.DAT,True,True,False,673.0,1473.0
../results/00214.DAT,True,True,False,673.0,1473.0
../results/00215.DAT,True,True,False,673.0,1473.0
../results/00216.DAT,True,True,False,673.0,1473.0
../results/00217.DAT,True,True,False,673.0,1473.0
../results/00218.DAT,True,True,False,673.0,1473.0
../results/00219.DAT,True,True,False,673.0,1473.0
../results/00220.DAT,True,True,False,673.0,1473.0
../results/00221.DAT,True,True,False,673.0,1473.0
../results/00222.DAT,True,True,False,673.0,1473.0
../results/00223.DAT,True,True,False,673.0,1473.0
../results/00224.DAT,True,True,False,673.0,1473.0
../results/00225.DAT,True,False,False,673.0,1473.0
../results/00226.DAT,True,True,False,673.0,1473.0
../results/00227.DAT,True,True,False,673.0,1473.0
../results/00228.DAT,True,True,False,673.0,1473.0
../results/00229.DAT,True,True,False,673.0,1473.0
