# C 0:0.015:11
# Mn 1e-06:0.03:5
# Si 1e-06:0.03:5
# Cr 1e-06:0.03:5
# Ni 1e-06:0.03:5
file,macro,C,Mn,Si,Cr,Ni
../results/00048.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,0.02250025
../results/00049.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,0.03
../results/00050.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,1e-06,1e-06
../results/00051.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,1e-06,0.00750075
../results/00052.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,1e-06,0.015000499999999998
../results/00053.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,1e-06,0.02250025
../results/00054.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,1e-06,0.03
../results/00055.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.00750075,1e-06
../results/00056.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.00750075,0.00750075
../results/00057.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.00750075,0.015000499999999998
../results/00058.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.00750075,0.02250025
../results/00059.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.00750075,0.03
../results/00060.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.015000499999999998,1e-06
../results/00061.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.015000499999999998,0.00750075
../results/00062.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.015000499999999998,0.015000499999999998
../results/00063.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.015000499999999998,0.02250025
