C,Mn,Si,Cr,Ni,A3
0.0,9.999999999999999e-05,9.999999999999999e-05,9.999999999999999e-05,9.999999999999999e-05,911.65
0.0,9.999999999999999e-05,9.999999999999999e-05,9.999999999999999e-05,0.7500749999999999,880.2600000000001
0.0,9.999999999999999e-05,9.999999999999999e-05,9.999999999999999e-05,1.5000499999999997,853.2500000000001
0.0,9.999999999999999e-05,9.999999999999999e-05,9.999999999999999e-05,2.250025,829.6
0.0,9.999999999999999e-05,9.999999999999999e-05,9.999999999999999e-05,3.0,808.65
0.0,9.999999999999999e-05,9.999999999999999e-05,0.7500749999999999,9.999999999999999e-05,900.0400000000001
0.0,9.999999999999999e-05,9.999999999999999e-05,0.7500749999999999,0.7500749999999999,869.92
0.0,9.999999999999999e-05,9.999999999999999e-05,0.7500749999999999,1.5000499999999997,843.92
0.0,9.999999999999999e-05,9.999999999999999e-05,0.7500749999999999,2.250025,821.11
0.0,9.999999999999999e-05,9.999999999999999e-05,0.7500749999999999,3.0,800.86
0.0,9.999999999999999e-05,9.999999999999999e-05,1.5000499999999997,9.999999999999999e-05,889.83
0.0,9.999999999999999e-05,9.999999999999999e-05,1.5000499999999997,0.7500749999999999,860.6999999999999
0.0,9.999999999999999e-05,9.999999999999999e-05,1.5000499999999997,1.5000499999999997,835.5200000000001
0.0,9.999999999999999e-05,9.999999999999999e-05,1.5000499999999997,2.250025,813.39
0.0,9.999999999999999e-05,9.999999999999999e-05,1.5000499999999997,3.0,793.7400000000001
0.0,9.999999999999999e-05,9.999999999999999e-05,2.250025,9.999999999999999e-05,880.9
0.0,9.999999999999999e-05,9.999999999999999e-05,2.250025,0.7500749999999999,852.5300000000001
0.0,9.999999999999999e-05,9.999999999999999e-05,2.250025,1.5000499999999997,827.9900000000001
0.0,9.999999999999999e-05,9.999999999999999e-05,2.250025,2.250025,806.42
0.0,9.999999999999999e-05,9.999999999999999e-05,2.250025,3.0,787.2600000000001
0.0,9.999999999999999e-05,9.999999999999999e-05,3.0,9.999999999999999e-05,873.1999999999999
0.0,9.999999999999999e-05,9.999999999999999e-05,3.0,0.7500749999999999,845.35
0.0,9.999999999999999e-05,9.999999999999999e-05,3.0,1.5000499999999997,821.2900000000001
0.0,9.999999999999999e-05,9.999999999999999e-05,3.0,2.250025,800.16
0.0,9.999999999999999e-05,9.999999999999999e-05,3.0,3.0,781.4
0.0,9.999999999999999e-05,0.7500749999999999,9.999999999999999e-05,9.999999999999999e-05,975.0300000000001
0.0,9.999999999999999e-05,0.7500749999999999,9.999999999999999e-05,0.7500749999999999,930.12
0.0,9.999999999999999e-05,0.7500749999999999,9.999999999999999e-05,1.5000499999999997,893.86
0.0,9.999999999999999e-05,0.7500749999999999,9.999999999999999e-05,2.250025,863.32
0.0,9.999999999999999e-05,0.7500749999999999,9.999999999999999e-05,3.0,836.9699999999999
0.0,9.999999999999999e-05,0.7500749999999999,0.7500749999999999,9.999999999999999e-05,956.5100000000001
0.0,9.999999999999999e-05,0.7500749999999999,0.7500749999999999,0.7500749999999999,914.7400000000001
0.0,9.999999999999999e-05,0.7500749999999999,0.7500749999999999,1.5000499999999997,880.57
0.0,9.999999999999999e-05,0.7500749999999999,0.7500749999999999,2.250025,851.59
0.0,9.999999999999999e-05,0.7500749999999999,0.7500749999999999,3.0,826.4599999999999
0.0,9.999999999999999e-05,0.7500749999999999,1.5000499999999997,9.999999999999999e-05,940.7900000000001
0.0,9.999999999999999e-05,0.7500749999999999,1.5000499999999997,0.7500749999999999,901.35
0.0,9.999999999999999e-05,0.7500749999999999,1.5000499999999997,1.5000499999999997,868.8100000000001
0.0,9.999999999999999e-05,0.7500749999999999,1.5000499999999997,2.250025,841.08
0.0,9.999999999999999e-05,0.7500749999999999,1.5000499999999997,3.0,816.9699999999999
0.0,9.999999999999999e-05,0.7500749999999999,2.250025,9.999999999999999e-05,927.38
0.0,9.999999999999999e-05,0.7500749999999999,2.250025,0.7500749999999999,889.67
0.0,9.999999999999999e-05,0.7500749999999999,2.250025,1.5000499999999997,858.4
0.0,9.999999999999999e-05,0.7500749999999999,2.250025,2.250025,831.68
0.0,9.999999999999999e-05,0.7500749999999999,2.250025,3.0,808.4
0.0,9.999999999999999e-05,0.7500749999999999,3.0,9.999999999999999e-05,915.9900000000001
0.0,9.999999999999999e-05,0.7500749999999999,3.0,0.7500749999999999,879.5200000000001
0.0,9.999999999999999e-05,0.7500749999999999,3.0,1.5000499999999997,849.2199999999999
0.0,9.999999999999999e-05,0.7500749999999999,3.0,2.250025,823.2900000000001
0.0,9.999999999999999e-05,0.7500749999999999,3.0,3.0,800.6899999999999
0.0,9.999999999999999e-05,1.5000499999999997,9.999999999999999e-05,9.999999999999999e-05,1076.71
0.0,9.999999999999999e-05,1.5000499999999997,9.999999999999999e-05,0.7500749999999999,997.92
0.0,9.999999999999999e-05,1.5000499999999997,9.999999999999999e-05,1.5000499999999997,945.9499999999999
0.0,9.999999999999999e-05,1.5000499999999997,9.999999999999999e-05,2.250025,905.4399999999999
0.0,9.999999999999999e-05,1.5000499999999997,9.999999999999999e-05,3.0,871.9699999999999
0.0,9.999999999999999e-05,1.5000499999999997,0.7500749999999999,9.999999999999999e-05,1040.8000000000002
0.0,9.999999999999999e-05,1.5000499999999997,0.7500749999999999,0.7500749999999999,974.58
0.0,9.999999999999999e-05,1.5000499999999997,0.7500749999999999,1.5000499999999997,927.39
0.0,9.999999999999999e-05,1.5000499999999997,0.7500749999999999,2.250025,889.7600000000001
