
 Phase Region for:
     CEMENTITE                     
     FCC_A1#1                      
 col-1=T, col-2=X(CEMENTITE,C), col-3=X(CEMENTITE,CR), col-4=X(CEMENTITE,FE),
   col-5=X(CEMENTITE,MN), col-6=X(CEMENTITE,NI), col-7=X(CEMENTITE,SI),
   col-8=X(FCC_A1#1,C), col-9=X(FCC_A1#1,CR), col-10=X(FCC_A1#1,FE),
   col-11=X(FCC_A1#1,MN), col-12=X(FCC_A1#1,NI), col-13=X(FCC_A1#1,SI),
   col-14=NP(CEMENTITE), col-15=NP(FCC_A1#1),
   1.17300E+03   2.50000E-01   9.30946E-02   6.55217E-01   1.42637E-06 
    1.68711E-03   0.00000E+00   4.66038E-02   1.53589E-02   9.24269E-01 
    9.77787E-07   1.37656E-02   1.91809E-06   1.95823E-03   9.98042E-01
   1.17613E+03   2.50000E-01   9.30429E-02   6.55258E-01   1.42354E-06 
    1.69727E-03   0.00000E+00   4.70021E-02   1.55111E-02   9.23742E-01 
    9.78665E-07   1.37420E-02   1.91433E-06   0.00000E+00   1.00000E+00

 Phase Region for:
     FCC_A1#1                      
 col-1=T, col-2=X(FCC_A1#1,C), col-3=X(FCC_A1#1,CR), col-4=X(FCC_A1#1,FE),
   col-5=X(FCC_A1#1,MN), col-6=X(FCC_A1#1,NI), col-7=X(FCC_A1#1,SI),
   col-8=NP(FCC_A1#1),
   1.17613E+03   4.70021E-02   1.55111E-02   9.23742E-01   9.78665E-07 
    1.37420E-02   1.91433E-06   1.00000E+00
   1.18300E+03   4.70021E-02   1.55111E-02   9.23742E-01   9.78665E-07 
    1.37420E-02   1.91433E-06   1.00000E+00
   1.19300E+03   4.70021E-02   1.55111E-02   9.23742E-01   9.78665E-07 
    1.37420E-02   1.91433E-06   1.00000E+00
   1.20300E+03   4.70021E-02   1.55111E-02   9.23742E-01   9.78665E-07 
    1.37420E-02   1.91433E-06   1.00000E+00
   1.21300E+03   4.70021E-02   1.55111E-02   9.23742E-01   9.78665E-07 
    1.37420E-02   1.91433E-06   1.00000E+00
   1.22300E+03   4.70021E-02   1.55111E-02   9.23742E-01   9.78665E-07 
    1.37420E-02   1.91433E-06   1.00000E+00
   1.23300E+03   4.70021E-02   1.55111E-02   9.23742E-01   9.78665E-07 
    1.37420E-02   1.91433E-06   1.00000E+00
   1.24300E+03   4.70021E-02   1.55111E-02   9.23742E-01   9.78665E-07 
    1.37420E-02   1.91433E-06   1.00000E+00
