
 Phase Region for:
     FCC_A1#1                      
 col-1=T, col-2=W(FCC_A1#1,C), col-3=W(FCC_A1#1,CR), col-4=W(FCC_A1#1,FE),
   col-5=W(FCC_A1#1,MN), col-6=W(FCC_A1#1,NI), col-7=W(FCC_A1#1,SI),
   col-8=NP(FCC_A1#1),
   1.17300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.18300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.19300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.20300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.21300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.22300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.23300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.24300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.25300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.26300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.27300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.28300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.29300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.30300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.31300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.32300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.33300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.34300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.35300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.36300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.37300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.38300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.39300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.40300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.41300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.42300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.43300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.44300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.45300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.46300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.47300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00

 Phase Region for:
     FCC_A1#1                      
 col-1=T, col-2=W(FCC_A1#1,C), col-3=W(FCC_A1#1,CR), col-4=W(FCC_A1#1,FE),
   col-5=W(FCC_A1#1,MN), col-6=W(FCC_A1#1,NI), col-7=W(FCC_A1#1,SI),
   col-8=NP(FCC_A1#1),
   1.17300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.16300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.15300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.14300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.13300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.12300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.11300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.10300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.09300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.08300E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00
   1.07728E+03   2.39125E-05   2.23677E-02   8.98312E-01   2.72694E-02 
    2.40906E-02   2.79363E-02   1.00000E+00

 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
 col-1=T, col-2=W(BCC_A2,C), col-3=W(BCC_A2,CR), col-4=W(BCC_A2,FE),
   col-5=W(BCC_A2,MN), col-6=W(BCC_A2,NI), col-7=W(BCC_A2,SI),
   col-8=W(FCC_A1#1,C), col-9=W(FCC_A1#1,CR), col-10=W(FCC_A1#1,FE),
   col-11=W(FCC_A1#1,MN), col-12=W(FCC_A1#1,NI), col-13=W(FCC_A1#1,SI),
   col-14=NP(BCC_A2), col-15=NP(FCC_A1#1),
   1.07728E+03   9.09131E-07   2.04288E-02   9.23459E-01   1.36579E-02 
    1.10422E-02   3.14111E-02   2.39125E-05   2.23677E-02   8.98312E-01 
    2.72694E-02   2.40906E-02   2.79363E-02   9.10599E-07   9.99999E-01
   1.07300E+03   9.19439E-07   2.04852E-02   9.23277E-01   1.38013E-02 
    1.11663E-02   3.12692E-02   2.48294E-05   2.24428E-02   8.97317E-01 
    2.78065E-02   2.46060E-02   2.78034E-02   3.84764E-02   9.61524E-01
   1.06300E+03   9.45408E-07   2.06168E-02   9.22821E-01   1.41423E-02 
    1.14643E-02   3.09548E-02   2.71713E-05   2.26161E-02   8.94835E-01 
    2.91320E-02   2.58821E-02   2.75080E-02   1.24641E-01   8.75359E-01
   1.05300E+03   9.73937E-07   2.07470E-02   9.22326E-01   1.44894E-02 
    1.17714E-02   3.06647E-02   2.98192E-05   2.27850E-02   8.92128E-01 
    3.05602E-02   2.72628E-02   2.72337E-02   2.05344E-01   7.94656E-01
   1.04300E+03   1.00492E-06   2.08745E-02   9.21802E-01   1.48394E-02 
    1.20851E-02   3.03984E-02   3.28104E-05   2.29477E-02   8.89188E-01 
    3.20975E-02   2.87538E-02   2.69800E-02   2.80471E-01   7.19529E-01
   1.03300E+03   1.03819E-06   2.09979E-02   9.21255E-01   1.51887E-02 
    1.24023E-02   3.01552E-02   3.61855E-05   2.31026E-02   8.86002E-01 
    3.37512E-02   3.03619E-02   2.67458E-02   3.49994E-01   6.50006E-01
   1.02300E+03   1.07351E-06   2.11163E-02   9.20696E-01   1.55332E-02 
    1.27196E-02   2.99342E-02   3.99876E-05   2.32485E-02   8.82558E-01 
    3.55298E-02   3.20940E-02   2.65301E-02   4.13957E-01   5.86043E-01
   1.01300E+03   1.11055E-06   2.12287E-02   9.20134E-01   1.58684E-02 
    1.30333E-02   2.97343E-02   4.42609E-05   2.33842E-02   8.78838E-01 
    3.74436E-02   3.39581E-02   2.63317E-02   4.72467E-01   5.27533E-01
   1.00300E+03   1.14883E-06   2.13343E-02   9.19582E-01   1.61890E-02 
    1.33389E-02   2.95545E-02   4.90488E-05   2.35088E-02   8.74825E-01 
    3.95048E-02   3.59630E-02   2.61494E-02   5.25674E-01   4.74326E-01
   9.93000E+02   1.18771E-06   2.14326E-02   9.19052E-01   1.64893E-02 
    1.36313E-02   2.93934E-02   5.43915E-05   2.36218E-02   8.70495E-01 
    4.17280E-02   3.81188E-02   2.59820E-02   5.73773E-01   4.26227E-01
   9.83000E+02   1.22630E-06   2.15232E-02   9.18558E-01   1.67623E-02 
    1.39049E-02   2.92500E-02   6.03193E-05   2.37229E-02   8.65821E-01 
    4.41311E-02   4.04366E-02   2.58281E-02   6.16975E-01   3.83025E-01
   9.73000E+02   1.26342E-06   2.16058E-02   9.18117E-01   1.70000E-02 
    1.41528E-02   2.91229E-02   6.68464E-05   2.38120E-02   8.60769E-01 
    4.67362E-02   4.29289E-02   2.56869E-02   6.55506E-01   3.44494E-01
   9.63000E+02   1.29209E-06   2.16685E-02   9.17890E-01   1.71079E-02 
    1.43248E-02   2.90074E-02   7.36668E-05   2.39055E-02   8.55250E-01 
    4.96200E-02   4.55707E-02   2.55805E-02   6.88276E-01   3.11724E-01
   9.53000E+02   1.31357E-06   2.17200E-02   9.17824E-01   1.71173E-02 
