
 Phase Region for:
     FCC_A1#1                      
 col-1=T, col-2=W(FCC_A1#1,C), col-3=W(FCC_A1#1,CR), col-4=W(FCC_A1#1,FE),
   col-5=W(FCC_A1#1,MN), col-6=W(FCC_A1#1,NI), col-7=W(FCC_A1#1,SI),
   col-8=NP(FCC_A1#1),
   1.17300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.18300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.19300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.20300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.21300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.22300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.23300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.24300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.25300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.26300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.27300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.28300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.29300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.30300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.31300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.32300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.33300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.34300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.35300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.36300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.37300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.38300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.39300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.40300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.41300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.42300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.43300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.44300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.45300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.46300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.47300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00

 Phase Region for:
     FCC_A1#1                      
 col-1=T, col-2=W(FCC_A1#1,C), col-3=W(FCC_A1#1,CR), col-4=W(FCC_A1#1,FE),
   col-5=W(FCC_A1#1,MN), col-6=W(FCC_A1#1,NI), col-7=W(FCC_A1#1,SI),
   col-8=NP(FCC_A1#1),
   1.17300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.16300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.15300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.14300E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.13300E+03   1.50000E-03   7.50075E-03   9.23499E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00
   1.12333E+03   1.50000E-03   7.50075E-03   9.23498E-01   7.50075E-03 
    3.00000E-02   3.00000E-02   1.00000E+00

 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
 col-1=T, col-2=W(BCC_A2,C), col-3=W(BCC_A2,CR), col-4=W(BCC_A2,FE),
   col-5=W(BCC_A2,MN), col-6=W(BCC_A2,NI), col-7=W(BCC_A2,SI),
   col-8=W(FCC_A1#1,C), col-9=W(FCC_A1#1,CR), col-10=W(FCC_A1#1,FE),
   col-11=W(FCC_A1#1,MN), col-12=W(FCC_A1#1,NI), col-13=W(FCC_A1#1,SI),
   col-14=NP(BCC_A2), col-15=NP(FCC_A1#1),
   1.12333E+03   7.41581E-05   6.16158E-03   9.39097E-01   3.65489E-03 
    1.56842E-02   3.53282E-02   1.50000E-03   7.50075E-03   9.23498E-01 
    7.50075E-03   3.00000E-02   3.00000E-02   6.51638E-07   9.99999E-01
   1.12300E+03   7.41694E-05   6.16222E-03   9.39097E-01   3.65633E-03 
    1.56924E-02   3.53180E-02   1.50309E-03   7.50365E-03   9.23465E-01 
    7.50909E-03   3.00310E-02   2.99885E-02   2.16629E-03   9.97834E-01
   1.11300E+03   7.45660E-05   6.18175E-03   9.39081E-01   3.69990E-03 
    1.59463E-02   3.50166E-02   1.60086E-03   7.59407E-03   9.22396E-01 
    7.76967E-03   3.09944E-02   2.96451E-02   6.60963E-02   9.33904E-01
   1.10300E+03   7.50651E-05   6.20151E-03   9.39041E-01   3.74360E-03 
    1.62115E-02   3.47271E-02   1.70838E-03   7.69075E-03   9.21226E-01 
    8.05019E-03   3.20164E-02   2.93087E-02   1.27579E-01   8.72421E-01
   1.09300E+03   7.56594E-05   6.22123E-03   9.38980E-01   3.78696E-03 
    1.64864E-02   3.44499E-02   1.82654E-03   7.79409E-03   9.19949E-01 
    8.35217E-03   3.30981E-02   2.89798E-02   1.86448E-01   8.13552E-01
   1.08300E+03   7.63407E-05   6.24061E-03   9.38898E-01   3.82952E-03 
    1.67697E-02   3.41858E-02   1.95628E-03   7.90463E-03   9.18563E-01 
