
 Phase Region for:
     CEMENTITE                     
     FCC_A1#2                      
 col-1=T, col-2=X(CEMENTITE,C), col-3=X(CEMENTITE,CR), col-4=X(CEMENTITE,FE),
   col-5=X(CEMENTITE,MN), col-6=X(CEMENTITE,NI), col-7=X(CEMENTITE,SI),
   col-8=X(FCC_A1#2,C), col-9=X(FCC_A1#2,CR), col-10=X(FCC_A1#2,FE),
   col-11=X(FCC_A1#2,MN), col-12=X(FCC_A1#2,NI), col-13=X(FCC_A1#2,SI),
   col-14=NP(CEMENTITE), col-15=NP(FCC_A1#2),
   1.17300E+03   2.50000E-01   1.70013E-01   5.55654E-01   2.24867E-02 
    1.84677E-03   0.00000E+00   3.21589E-02   3.00009E-02   8.52863E-01 
    2.17568E-02   2.04561E-02   4.27642E-02   4.67156E-03   9.95328E-01
   1.18160E+03   2.50000E-01   1.69367E-01   5.56379E-01   2.23681E-02 
    1.88584E-03   0.00000E+00   3.31765E-02   3.06549E-02   8.51475E-01 
    2.17602E-02   2.03691E-02   4.25644E-02   0.00000E+00   1.00000E+00

 Phase Region for:
     FCC_A1#2                      
 col-1=T, col-2=X(FCC_A1#2,C), col-3=X(FCC_A1#2,CR), col-4=X(FCC_A1#2,FE),
   col-5=X(FCC_A1#2,MN), col-6=X(FCC_A1#2,NI), col-7=X(FCC_A1#2,SI),
   col-8=NP(FCC_A1#2),
   1.18160E+03   3.31765E-02   3.06549E-02   8.51475E-01   2.17602E-02 
    2.03691E-02   4.25644E-02   1.00000E+00
   1.18300E+03   3.31765E-02   3.06549E-02   8.51475E-01   2.17602E-02 
    2.03691E-02   4.25644E-02   1.00000E+00
   1.19300E+03   3.31765E-02   3.06549E-02   8.51475E-01   2.17602E-02 
    2.03691E-02   4.25644E-02   1.00000E+00
   1.20300E+03   3.31765E-02   3.06549E-02   8.51475E-01   2.17602E-02 
    2.03691E-02   4.25644E-02   1.00000E+00
   1.21300E+03   3.31765E-02   3.06549E-02   8.51475E-01   2.17602E-02 
    2.03691E-02   4.25644E-02   1.00000E+00
